13.0000,2.0000,15.0000,0.8400,23.2000,11.1400,0.3720,8.0000,0.0070,0.0000
32.0000,1.0000,3.0000,0.9600,9.3700,3.3000,0.2844,88.0000,0.0117,0.0000
102.0000,1.0000,0.9800,0.9900,9.0400,0.0600,0.0047,274.0000,0.0380,1.0000
57.0000,4.0000,7.0000,0.9120,13.7000,1.8000,0.0117,38.0000,0.0062,0.0000
293.0000,4.0000,1.0000,0.9800,4.7000,0.0600,0.0029,15.0000,0.0039,1.0000
29.0000,2.0000,6.0000,0.9300,18.9000,5.6000,0.0262,0.0000,0.0000,0.0000
12.0000,5.0000,41.6000,0.8333,27.0000,7.3000,0.0473,1.0000,0.0006,0.0000
222.0000,2.0000,0.8800,0.9900,5.1000,0.0700,0.0030,133.0000,0.3500,0.0000
289.0000,21.0000,7.2000,0.9200,22.0000,0.2900,0.0022,79.0000,0.2700,0.0000
37.0000,14.0000,37.8000,0.6200,16.0000,0.7600,0.0109,4.0000,0.0040,0.0000
38.0000,26.0000,68.4200,0.3150,11.0000,0.9000,0.0122,9.0000,0.0130,0.0000
13.0000,2.0000,15.0000,0.8400,20.0000,6.2100,0.0574,44.0000,0.0110,0.0000
1887.0000,48.0000,2.5000,0.6000,4.9000,0.0060,0.0005,81.0000,0.0270,0.0000
