DAY,AMOUNT
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,6
783,0
784,7
785,0
786,5864
787,42
788,279
789,4485
790,0
791,6
792,0
793,95
794,0
795,0
796,4
797,96
798,39
799,0
800,0
801,0
802,11174
803,0
804,4190
805,29
806,3580
807,5799
808,2758
809,1984
810,0
811,0
812,0
813,0
814,0
815,11900
816,9689
817,0
818,2
819,0
820,0
821,14
822,0
823,6
824,0
825,0
826,632
827,2185
828,155
829,4415
830,3
831,10
832,168
833,42
834,39
835,30
836,0
837,0
838,0
839,30
840,3
841,0
842,0
843,0
844,0
845,0
846,44
847,2
848,14
849,932
850,0
851,0
852,0
853,69
854,0
855,111
856,0
857,0
858,0
859,48
860,345
861,426
862,9
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,3043
871,8
872,0
873,6
874,0
875,2739
876,843
877,2591
878,5
879,2552
880,2104
881,0
882,676
883,153
884,6
885,191
886,0
887,0
888,0
889,0
890,5
891,0
892,0
893,2
894,11491
895,12
896,0
897,0
898,0
899,0
900,0
901,11
902,2
903,146
904,6
905,150
906,252
907,260
908,21
909,141
910,20
911,0
912,967
913,0
914,49
915,65
916,11
917,0
918,19
919,11715
920,0
921,1613
922,25
923,150
924,0
925,13
926,2598
927,0
928,11
929,6
930,106
931,826
932,0
933,0
934,2736
935,0
936,0
937,0
938,13
939,0
940,0
941,5760
942,6301
943,0
944,0
945,4
946,1017
947,0
948,1967
949,0
950,45
951,3
952,0
953,874
954,0
955,0
956,0
957,18
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,3952
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,39
989,0
990,0
991,13918
992,11
993,30
994,0
995,1393
996,8
997,6
998,0
999,83
1000,15
1001,32
1002,0
1003,0
1004,0
1005,3
1006,0
1007,0
1008,0
1009,0
1010,202
1011,0
1012,0
1013,6
1014,47
1015,0
1016,493
1017,192
1018,3
1019,0
1020,0
1021,0
1022,0
1023,320
1024,2
1025,0
1026,0
1027,1733
1028,2
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,7
1040,2
1041,1449
1042,0
1043,638
1044,0
1045,668
1046,61
1047,13
1048,0
1049,0
1050,0
1051,1268
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,466
1061,13591
1062,620
1063,0
1064,40
1065,1303
1066,3862
1067,3642
1068,22
1069,0
1070,0
1071,3
1072,187
1073,0
1074,1117
1075,1419
1076,2
1077,14
1078,11428
1079,65
1080,45
1081,33
1082,31
1083,0
1084,20
1085,3290
1086,2107
1087,521
1088,2380
1089,1272
1090,1109
1091,1126
1092,64
1093,0
1094,0
1095,0
1096,31
1097,993
1098,0
1099,0
1100,0
1101,0
1102,13
1103,0
1104,4404
1105,24
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1292
1116,0
1117,0
1118,0
1119,36
1120,48
1121,0
1122,1021
1123,0
1124,0
1125,1025
1126,287
1127,77
1128,2035
1129,33
1130,0
1131,0
1132,36751
1133,48
1134,37
1135,0
1136,3903
1137,0
1138,0
1139,0
1140,0
1141,68
1142,3
1143,85
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,8
1151,44
1152,0
1153,0
1154,0
1155,0
1156,0
1157,7
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,3
1171,363
1172,62
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,2
1181,0
1182,0
1183,0
1184,1352
1185,0
1186,0
1187,5
1188,0
1189,0
1190,0
1191,0
1192,2
1193,0
1194,4
1195,0
1196,0
1197,1112
1198,1509
1199,1513
1200,1554
1201,0
1202,1527
1203,0
1204,0
1205,38
1206,32
1207,56
1208,4
1209,0
1210,0
1211,0
1212,72
1213,104
1214,0
1215,1628
1216,25
1217,4
1218,0
1219,21
1220,0
1221,0
1222,27
1223,0
1224,0
1225,656
1226,0
1227,4260
1228,0
1229,0
1230,101
1231,0
1232,0
1233,0
1234,0
1235,1515
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,1461
1243,1805
1244,3429
1245,59
1246,7
1247,4800
1248,0
1249,0
1250,4
1251,1524
1252,2
1253,1692
1254,217
1255,16
1256,0
1257,0
1258,0
1259,0
1260,4
1261,0
1262,0
1263,0
1264,18
1265,6
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,35
1274,0
1275,0
1276,0
