DAY,AMOUNT
773,101
774,17
775,64
776,148
777,0
778,147
779,0
780,0
781,11
782,0
783,77
784,0
785,67
786,0
787,0
788,0
789,1461
790,741
791,12
792,0
793,0
794,0
795,152
796,114
797,95
798,104
799,35
800,0
801,0
802,42
803,1321
804,952
805,57
806,1729
807,659
808,0
809,0
810,354
811,0
812,462
813,0
814,135
815,0
816,0
817,147
818,51
819,1198
820,34
821,1438
822,0
823,0
824,5
825,452
826,38
827,355
828,722
829,0
830,0
831,59
832,0
833,1177
834,440
835,2649
836,0
837,0
838,265
839,731
840,427
841,1287
842,4217
843,0
844,0
845,0
846,108
847,0
848,775
849,302
850,4
851,0
852,12
853,147
854,214
855,139
856,62
857,71
858,213
859,420
860,288
861,0
862,148
863,1270
864,0
865,0
866,26
867,356
868,253
869,0
870,78
871,0
872,0
873,76
874,37
875,0
876,728
877,0
878,0
879,0
880,137
881,14
882,0
883,395
884,52
885,0
886,0
887,14
888,23
889,0
890,800
891,0
892,0
893,0
894,1981
895,623
896,132
897,66
898,36
899,54
900,317
901,0
902,2
903,6
904,1069
905,4
906,0
907,0
908,82
909,0
910,0
911,0
912,0
913,0
914,0
915,423
916,7
917,0
918,3
919,0
920,0
921,0
922,16
923,0
924,0
925,132
926,480
927,0
928,0
929,1178
930,177
931,283
932,299
933,284
934,0
935,0
936,0
937,2419
938,170
939,203
940,428
941,0
942,0
943,96
944,1080
945,94
946,321
947,84
948,0
949,0
950,0
951,415
952,11
953,0
954,1446
955,0
956,0
957,259
958,3078
959,1204
960,2
961,733
962,0
963,0
964,476
965,1424
966,9265
967,3571
968,1123
969,0
970,0
971,895
972,1036
973,1233
974,400
975,142
976,76
977,788
978,431
979,143
980,2965
981,16
982,0
983,207
984,0
985,160
986,98
987,0
988,163
989,43
990,0
991,0
992,94
993,216
994,145
995,2023
996,283
997,25
998,228
999,91
1000,74
1001,186
1002,41
1003,57
1004,0
1005,77
1006,504
1007,3413
1008,738
1009,92
1010,338
1011,17
1012,0
1013,104
1014,113
1015,111
1016,162
1017,161
1018,0
1019,0
1020,310
1021,1110
1022,310
1023,246
1024,397
1025,0
1026,0
1027,406
1028,112
1029,153
1030,620
1031,392
1032,3
1033,0
1034,349
1035,950
1036,111
1037,255
1038,10078
1039,0
1040,0
1041,977
1042,3
1043,978
1044,93
1045,1366
1046,0
1047,0
1048,0
1049,0
1050,11
1051,18
1052,0
1053,0
1054,0
1055,0
1056,472
1057,125
1058,0
1059,0
1060,180
1061,0
1062,813
1063,0
1064,468
1065,30
1066,351
1067,0
1068,0
1069,552
1070,931
1071,523
1072,712
1073,450
1074,0
1075,364
1076,32
1077,79
1078,29
1079,550
1080,195
1081,0
1082,0
1083,330
1084,4
1085,68
1086,20
1087,111
1088,0
1089,0
1090,168
1091,0
1092,155
1093,268
1094,313
1095,0
1096,0
1097,22
1098,427
1099,472
1100,34
1101,883
1102,0
1103,0
1104,78
1105,818
1106,894
1107,440
1108,170
1109,18
1110,0
1111,36
1112,10
1113,142
1114,47
1115,1676
1116,0
1117,1123
1118,453
1119,384
1120,1514
1121,1419
1122,295
1123,76
1124,83
1125,135
1126,812
1127,622
1128,102
1129,28
1130,165
1131,0
1132,446
1133,231
1134,69
1135,67
1136,859
1137,149
1138,0
1139,969
1140,187
1141,12
1142,882
1143,2691
1144,12
1145,1109
1146,79
1147,147
1148,357
1149,155
1150,0
1151,0
1152,0
1153,98
1154,1358
1155,225
1156,5
1157,0
1158,0
1159,0
1160,0
1161,0
1162,100
1163,401
1164,6
1165,0
1166,0
1167,165
1168,314
1169,301
1170,416
1171,409
1172,0
1173,4
1174,16
1175,0
1176,119
1177,302
1178,598
1179,0
1180,0
1181,964
1182,77
1183,91
1184,536
1185,253
1186,0
1187,0
1188,223
1189,183
1190,124
1191,187
1192,706
1193,0
1194,47
1195,211
1196,285
1197,205
1198,135
1199,154
1200,16
1201,0
1202,30
1203,80
1204,428
1205,629
1206,529
1207,0
1208,0
1209,0
1210,538
1211,1617
1212,1049
1213,0
1214,0
1215,14
1216,512
1217,409
1218,51
1219,601
1220,142
1221,25
1222,0
1223,313
1224,242
1225,5337
1226,493
1227,623
1228,0
1229,88
1230,82
1231,432
1232,608
1233,260
1234,1089
1235,214
1236,0
1237,197
1238,307
1239,202
1240,58
1241,161
1242,0
1243,0
1244,56
1245,391
1246,663
1247,713
1248,927
1249,0
1250,0
1251,49
1252,225
1253,961
1254,59
1255,5
1256,0
1257,0
1258,236
1259,475
1260,319
1261,72
1262,838
1263,0
1264,91
1265,4
1266,0
1267,115
1268,0
1269,37
1270,4
1271,0
1272,0
1273,0
1274,0
1275,2
1276,9
1277,0
1278,0
1279,735
1280,904
1281,149
1282,230
1283,424
1284,0
1285,0
1286,430
1287,159
1288,177
1289,339
1290,344
1291,0
1292,0
1293,98
1294,192
1295,706
1296,2328
1297,948
1298,38
1299,229
1300,456
1301,608
1302,1345
1303,505
1304,861
1305,3
1306,10
1307,399
1308,787
1309,35
1310,226
1311,39
1312,0
1313,0
1314,0
1315,354
1316,454
1317,1854
1318,714
1319,0
1320,4
1321,551
1322,1194
1323,299
1324,99
1325,1583
1326,197
1327,0
1328,39
1329,787
1330,3090
1331,655
1332,401
1333,129
1334,785
1335,362
1336,1361
1337,240
1338,477
1339,210
1340,416
1341,151
1342,432
1343,212
1344,400
1345,592
1346,586
1347,20
1348,0
1349,52
1350,221
1351,45
1352,852
1353,339
1354,29
1355,74
1356,350
1357,261
1358,1026
1359,286
1360,372
1361,0
1362,665
1363,193
1364,220
1365,360
1366,232
1367,463
1368,268
1369,299
1370,840
1371,369
1372,147
1373,319
1374,213
1375,0
1376,9
1377,29
1378,518
1379,127
1380,249
1381,59
1382,337
1383,36
1384,1812
1385,547
1386,570
1387,121
1388,144
1389,31
1390,387
1391,463
1392,25
1393,40
1394,249
1395,519
1396,11
1397,14
1398,190
1399,616
1400,215
1401,19
1402,58
1403,0
1404,0
1405,0
1406,71
1407,0
1408,519
1409,861
1410,0
1411,0
1412,331
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,816
1421,2961
1422,302
1423,99
1424,22
1425,125
1426,49
1427,52
1428,446
1429,0
1430,11
1431,0
1432,134
1433,149
1434,195
1435,2404
1436,196
1437,338
1438,0
1439,247
1440,946
1441,519
1442,149
1443,232
1444,4
1445,0
1446,0
1447,195
1448,379
1449,414
1450,284
1451,634
1452,266
1453,36
1454,1468
1455,4057
1456,32698
1457,406
1458,1415
1459,0
1460,50
1461,122
1462,666
1463,87
1464,367
1465,130
1466,2
1467,40
1468,3048
1469,738
1470,964
1471,0
1472,120
1473,0
1474,81
1475,602
1476,396
1477,411
1478,124
1479,467
1480,58
1481,6
1482,227
1483,225
1484,122
1485,276
1486,32
1487,0
1488,0
1489,94
1490,103
1491,177
1492,6
1493,468
1494,0
1495,0
1496,552
1497,489
1498,748
1499,1752
1500,310
1501,169
1502,0
1503,99
1504,110
1505,1625
1506,19
1507,714
1508,0
1509,765
1510,0
1511,358
1512,135
1513,40
1514,2186
1515,0
1516,0
1517,0
1518,1072
1519,16
1520,867
1521,590
1522,0
1523,0
1524,114
1525,366
1526,314
1527,2303
1528,542
1529,0
1530,5
1531,1228
1532,514
1533,612
1534,103
1535,140
1536,0
1537,9
1538,1041
1539,892
1540,40
1541,358
1542,0
1543,0
1544,0
1545,35
1546,163
1547,125
1548,1147
1549,378
1550,0
1551,0
1552,947
1553,832
1554,281
1555,28
1556,15
1557,0
1558,39
1559,1699
1560,344
1561,281
1562,1399
1563,98
1564,0
1565,0
1566,11
1567,262
1568,453
1569,257
1570,35
1571,34
1572,88
1573,144
1574,1304
1575,114
1576,607
1577,652
1578,471
1579,0
1580,527
1581,342
1582,3190
1583,239
1584,281
1585,6
1586,0
1587,638
1588,658
1589,245
1590,513
1591,278
1592,122
1593,42
1594,5
1595,13
1596,1128
1597,0
1598,285
1599,26
1600,0
1601,157
1602,152
1603,105
1604,115
1605,102
1606,2505
1607,184
1608,705
1609,90
1610,626
1611,995
1612,445
1613,9
1614,0
1615,439
1616,1045
1617,488
1618,163
1619,280
1620,0
1621,21
1622,790
1623,528
1624,485
1625,156
