DAY,AMOUNT
1,1797199
2,182
3,26
4,45
5,6
6,0
7,0
8,7
9,0
10,0
11,0
12,0
13,0
14,4
15,1402
16,20467
17,693
18,0
19,449
20,14
21,0
22,205
23,68
24,166
25,152
26,0
27,0
28,0
29,0
30,1562
31,86
32,276
33,637
34,127
35,0
36,613
37,876
38,97
39,269
40,249
41,0
42,0
43,138
44,661
45,476
46,671
47,433
48,0
49,0
50,27
51,222
52,0
53,262
54,1419
55,2
56,40
57,0
58,0
59,0
60,0
61,63
62,0
63,0
64,0
65,0
66,458
67,0
68,3
69,0
70,0
71,0
72,96
73,509
74,0
75,155
76,0
77,0
78,18
79,0
80,19
81,0
82,22
83,0
84,0
85,0
86,21
87,0
88,777
89,1735
90,0
91,0
92,12
93,3
94,0
95,168
96,1436
97,0
98,0
99,27803
100,635
101,29996
102,238
103,686
104,121
105,341
106,0
107,17
108,0
109,0
110,13
111,0
112,0
113,740
114,0
115,13
116,11
117,1275
118,0
119,0
120,2
121,0
122,3
123,0
124,164
125,0
126,0
127,12
128,57
129,0
130,6141
131,188
132,0
133,0
134,422727
135,1097
136,0
137,0
138,33
139,94590
140,0
141,29
142,108
143,0
144,0
145,0
146,0
147,0
148,0
149,103
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,46
159,0
160,0
161,0
162,0
163,42
164,2
165,39
166,0
167,0
168,0
169,0
170,0
171,81
172,302
173,15
174,0
175,0
176,0
177,764
178,22
179,64
180,0
181,0
182,19
183,397
184,0
185,39
186,0
187,3
188,0
189,0
190,7
191,0
192,2
193,63
194,0
195,0
196,0
197,1076
198,0
199,3
200,1805
201,2
202,5
203,0
204,0
205,6
206,0
207,0
208,12
209,0
210,0
211,119
212,0
213,8
214,249
215,92
216,35
217,0
218,178
219,0
220,277
221,403
222,10
223,35
224,0
225,18
226,641
227,64
228,15
229,110
230,147
231,21
232,0
233,36
234,0
235,0
236,525
237,30
238,0
239,0
240,0
241,5
242,0
243,18
244,0
245,0
246,8
247,120
248,329
249,0
250,7
251,0
252,0
253,0
254,0
255,16
256,35
257,0
258,0
259,0
260,0
261,36
262,0
263,6
264,0
265,0
266,0
267,0
268,0
269,6
270,0
271,0
272,0
273,0
274,0
275,54
276,0
277,0
278,0
279,0
280,0
281,0
282,8
283,6
284,156
285,0
286,78
287,0
288,0
289,20
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,6
305,0
306,0
307,0
308,0
309,3
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,221
332,0
333,0
334,0
335,0
336,0
337,0
338,17
339,0
340,0
341,4643
342,0
343,0
344,0
345,0
346,0
347,39
348,34
349,0
350,0
351,0
352,0
353,69
354,0
355,0
356,35566
357,3
358,31
359,136
360,0
361,130
362,62
363,0
364,0
365,0
366,0
367,0
368,0
369,32
370,0
371,0
372,0
373,0
374,13
375,103
376,172
377,0
378,0
379,0
380,0
381,0
382,0
383,8
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,4152
408,2
409,101
410,0
411,0
412,0
413,0
414,0
415,23
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,17
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
