DAY,AMOUNT
793,0
794,0
795,0
796,0
797,0
798,938
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,2504
809,0
810,0
811,0
812,780
813,36
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,2990
830,23
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,879
839,0
840,0
841,0
842,0
843,571
844,38
845,0
846,0
847,0
848,0
849,0
850,973
851,0
852,0
853,0
854,83
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,748
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,5451
898,181
899,0
900,0
901,0
902,0
903,0
904,649
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,2300
914,0
915,0
916,0
917,0
918,0
919,898
920,0
921,0
922,0
923,0
924,0
925,0
926,468
927,183
928,0
929,0
930,0
931,0
932,696
933,0
934,164
935,0
936,0
937,0
938,0
939,900
940,0
941,0
942,1229
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,2880
958,0
959,0
960,880
961,0
962,0
963,0
964,0
965,0
966,376
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,1903
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,7084
1012,0
1013,135
1014,0
1015,60
1016,0
1017,0
1018,621
1019,0
1020,0
1021,0
1022,182
1023,0
1024,0
1025,79
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1321
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,577
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,165
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,2318
1069,0
1070,0
1071,0
1072,0
1073,0
1074,500
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,113
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,54
1111,0
1112,0
1113,0
1114,81
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,266
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1166
1129,0
1130,732
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1331
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,771
1153,0
1154,0
1155,185
1156,509
1157,174
1158,0
1159,427
1160,0
1161,0
1162,198
1163,0
1164,1087
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,1846
1172,0
1173,213
1174,0
1175,0
1176,360
1177,0
1178,0
1179,250
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,2301
1193,23
1194,0
1195,0
1196,0
1197,0
1198,2198
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,1513
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,1054
1219,0
1220,132
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,1630
1230,0
1231,467
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,1041
1240,0
1241,247
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,483
1256,0
1257,0
1258,0
1259,0
1260,1869
1261,135
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,97
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,485
1277,0
1278,119
1279,0
1280,0
1281,0
1282,0
1283,1064
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,171
1292,0
1293,0
1294,0
1295,98
1296,0
1297,90
1298,0
